Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,78.14814450782146,22.758078275130686,5.100155815932656,1.5000000000000013e-2,4.1681787418561354e-4,"cx0_1: 2.246e-2, cx0_14: 2.353e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q1,37.76109561529719,21.449204316802174,5.238388353552421,3.200000000000003e-2,2.5839983657785855e-3,"cx1_0: 2.246e-2, cx1_2: 3.269e-2, cx1_13: 8.339e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q2,26.790680257132514,51.102750435646136,5.032833614364949,8.000000000000007e-2,2.2029406936775794e-3,"cx2_1: 3.269e-2, cx2_3: 2.876e-2, cx2_12: 5.320e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q3,68.73521445124766,54.13140798799848,4.89608137059741,5.0000000000000044e-2,4.7000486097007843e-4,"cx3_2: 2.876e-2, cx3_4: 1.615e-2, cx3_11: 5.074e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q4,75.55802278036631,51.12519346858735,5.026311665374305,3.749999999999998e-2,1.4927635307157732e-3,"cx4_3: 1.615e-2, cx4_5: 2.958e-2, cx4_10: 2.384e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q5,19.121130309770734,37.976899495305354,5.066754796074812,5.5499999999999994e-2,2.6593983370365314e-3,"cx5_4: 2.958e-2, cx5_6: 4.514e-2, cx5_9: 3.517e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q6,82.78410267466185,94.70428123546722,4.924040843104388,2.5500000000000078e-2,9.291665250620227e-4,"cx6_5: 4.514e-2, cx6_8: 3.281e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q7,33.61745669212048,60.8615775472078,4.974542341783818,1.6849999999999998e-1,1.864935037375805e-3,"cx7_8: 6.366e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q8,33.38854985602934,41.01923702161324,4.740661565243569,2.8049999999999997e-1,8.36494969956223e-4,"cx8_6: 3.281e-2, cx8_7: 6.366e-2, cx8_9: 3.189e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q9,46.27889531971491,82.60302679441195,4.9632895078792565,4.749999999999999e-2,1.4444081852657575e-3,"cx9_5: 3.517e-2, cx9_8: 3.189e-2, cx9_10: 3.723e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q10,62.97693503437546,58.77660360044715,4.945207837571694,2.5000000000000022e-2,1.0587683481592676e-3,"cx10_4: 2.384e-2, cx10_9: 3.723e-2, cx10_11: 3.207e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q11,64.47394595297745,46.058456294098086,5.0047832468249664,3.400000000000003e-2,5.117526179972384e-3,"cx11_3: 5.074e-2, cx11_10: 3.207e-2, cx11_12: 5.598e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q12,106.5614836183387,49.65295237248784,4.760000293272034,4.200000000000004e-2,8.265158500338814e-4,"cx12_2: 5.320e-2, cx12_11: 5.598e-2, cx12_13: 3.175e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q13,27.76999481303232,50.570091328221864,4.9683475094169856,8.600000000000008e-2,1.6341699046771286e-3,"cx13_1: 8.339e-2, cx13_12: 3.175e-2, cx13_14: 4.196e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
Q14,36.97493547982178,29.19285547099445,5.001481038978745,5.6499999999999995e-2,9.172316550597381e-4,"cx14_0: 2.353e-2, cx14_13: 4.196e-2",Thu Mar 05 2020 10:16:56 GMT+0100 (Central European Standard Time)
