Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,66.303722856737,22.758078275130686,5.1001580543118665,3.249999999999997e-2,6.48684204761423e-4,"cx0_1: 1.881e-2, cx0_14: 2.532e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q1,61.81558136046794,68.38675805137572,5.238397688769791,7.550000000000001e-2,1.2522947582769566e-3,"cx1_0: 1.881e-2, cx1_2: 2.493e-2, cx1_13: 6.500e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q2,40.59812872586688,11.146587518352462,5.032840089203228,2.7949999999999997e-1,5.7784308542517746e-3,"cx2_1: 2.493e-2, cx2_3: 4.120e-2, cx2_12: 4.021e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q3,56.800671633080725,47.4329103052806,4.896097219643273,4.6499999999999986e-2,6.782565477857813e-4,"cx3_2: 4.120e-2, cx3_4: 2.500e-2, cx3_11: 7.233e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q4,48.683345459238275,38.735942092760986,5.026312556925926,2.950000000000008e-2,1.8719103635427643e-3,"cx4_3: 2.500e-2, cx4_5: 3.659e-2, cx4_10: 4.433e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q5,18.545970552201684,36.394732118392035,5.066777413040441,7.800000000000007e-2,9.750424452581613e-3,"cx5_4: 3.659e-2, cx5_6: 5.363e-2, cx5_9: 4.183e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q6,88.54093523810926,83.64112378273947,4.92404800281909,3.400000000000003e-2,1.2211702373962083e-3,"cx6_5: 5.363e-2, cx6_8: 2.959e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q7,44.00625347903812,77.15677021527695,4.974532063873787,2.9000000000000026e-2,1.6163765871997045e-3,"cx7_8: 2.938e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q8,33.699430095187566,63.397873515248875,4.740662133823232,2.68e-1,9.916356292297038e-4,"cx8_6: 2.959e-2, cx8_7: 2.938e-2, cx8_9: 3.300e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q9,38.15580180295316,62.58158855211904,4.963287629311975,4.899999999999993e-2,1.7615046956937974e-3,"cx9_5: 4.183e-2, cx9_8: 3.300e-2, cx9_10: 4.879e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q10,69.31631915436198,58.362622043351216,4.945206683630818,3.1000000000000028e-2,1.6967684152987353e-3,"cx10_4: 4.433e-2, cx10_9: 4.879e-2, cx10_11: 6.005e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q11,36.91118277384579,23.17321258543575,5.004575842438484,6.05e-2,2.488556386658681e-2,"cx11_3: 7.233e-2, cx11_10: 6.005e-2, cx11_12: 5.416e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q12,99.92043282837618,58.02721980888536,4.760001024511677,3.649999999999998e-2,6.465415220469131e-4,"cx12_2: 4.021e-2, cx12_11: 5.416e-2, cx12_13: 2.947e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q13,27.048134708577805,45.736898928122024,4.968312903797335,9.299999999999997e-2,2.0897816751152417e-3,"cx13_1: 6.500e-2, cx13_12: 2.947e-2, cx13_14: 4.580e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
Q14,40.64842533063927,42.06252334957013,5.001484285909453,5.0999999999999934e-2,6.203135111417547e-4,"cx14_0: 2.532e-2, cx14_13: 4.580e-2",Sun Mar 22 2020 08:53:35 GMT+0100 (Central European Standard Time)
