collision_number	numerical_tangle_list	fidelity_list
0	0.10897229503206614	0.7998046945621715
1	0.09961383590941404	0.6630859458074171
2	0.0009600813105246245	0.6777343832181318
3	0.013190401782376402	0.5917968836320369
4	0.0047314161732779	0.7275390701840923
5	0.0005102822590831453	0.6074218835875675
6	0.00028502857422346993	0.5742187587205883
7	0.00030562432916432806	0.5458984462924589
8	0.0006561584747033067	0.5283203210491745
9	0.0006475730989636171	0.4951171963060217
10	0.005431058688676915	0.5332031335987724
