Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,64.11852703773117,22.758078275130686,5.100157080176152,2.400000000000002e-2,4.812750947147945e-4,"cx0_1: 2.047e-2, cx0_14: 3.339e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q1,54.6404987179911,34.116901407375465,5.238400469846628,3.1500000000000083e-2,1.344183595426331e-3,"cx1_0: 2.047e-2, cx1_2: 7.957e-2, cx1_13: 6.793e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q2,4.645367438608451,11.300012262056297,5.032758173233414,8.950000000000002e-2,9.118582818159499e-3,"cx2_1: 7.957e-2, cx2_3: 1.000e+0, cx2_12: 7.288e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q3,77.3003340144103,58.50709856138715,4.896080477662198,6.95e-2,4.2385757332542287e-4,"cx3_2: 1.000e+0, cx3_4: 1.689e-2, cx3_11: 7.651e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q4,67.39951550972613,43.89982293537195,5.026307989271716,7.650000000000001e-2,1.4157276837491297e-3,"cx4_3: 1.689e-2, cx4_5: 2.967e-2, cx4_10: 2.526e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q5,18.262512927401477,34.96295467924409,5.066753012131446,6.000000000000005e-2,3.092903253789384e-3,"cx5_4: 2.967e-2, cx5_6: 5.273e-2, cx5_9: 4.124e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q6,85.59206655454439,64.91785158315288,4.924039537608966,3.1000000000000028e-2,1.0953923456415635e-3,"cx6_5: 5.273e-2, cx6_8: 3.565e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q7,32.82908116131511,44.631542282013704,4.974546593543381,1.5549999999999997e-1,4.3933586003255965e-3,"cx7_8: 3.241e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q8,35.132766543074816,60.549568428614,4.740661397933005,2.68e-1,7.292033532854792e-4,"cx8_6: 3.565e-2, cx8_7: 3.241e-2, cx8_9: 3.117e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q9,44.62398563582668,75.34112420646417,4.963289675283833,3.4499999999999975e-2,1.5466029401441928e-3,"cx9_5: 4.124e-2, cx9_8: 3.117e-2, cx9_10: 3.103e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q10,70.80975874902285,57.836494078644286,4.945207842743898,4.400000000000004e-2,1.2315644526227885e-3,"cx10_4: 2.526e-2, cx10_9: 3.103e-2, cx10_11: 4.948e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q11,63.6330412148338,54.254154101755795,5.004806358108526,3.1500000000000083e-2,2.0826972758067885e-3,"cx11_3: 7.651e-2, cx11_10: 4.948e-2, cx11_12: 6.600e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q12,116.52274548998408,51.676372729264784,4.75999896370903,4.3500000000000094e-2,8.652926348610704e-4,"cx12_2: 7.288e-2, cx12_11: 6.600e-2, cx12_13: 4.016e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q13,28.60239357126579,56.11861801260306,4.968350866339231,8.400000000000007e-2,1.7801475838118597e-3,"cx13_1: 6.793e-2, cx13_12: 4.016e-2, cx13_14: 4.209e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
Q14,36.77486273913841,49.960757597589286,5.00147381478857,3.400000000000003e-2,7.729476966840199e-4,"cx14_0: 3.339e-2, cx14_13: 4.209e-2",Mon Mar 02 2020 10:40:34 GMT+0100 (Central European Standard Time)
