collision_number	numerical_tangle_list	fidelity_list
0	0.15400734045350378	0.6630859458011419
1	0.0044599718344831936	0.6250000084128217
2	0.0051683402904758695	0.6054687586093005
3	0.0004361416248656634	0.5683593836997364
4	0.0009548692811179846	0.5761718837498664
5	0.007852281637317748	0.5390625087964269
6	5.805257584199634e-05	0.5302734461707721
7	0.0003422786109007874	0.6035156336599373
8	0.0051393468146891325	0.5898437587052756
9	0.004325584452335036	0.5537109462774602
10	0.00010553682601975477	0.5332031336864038
