collision_number	numerical_tangle_list	fidelity_list
0	0.9772911845896499	0.9993442108342174
1	0.491139961089842	0.829101569162787
2	0.23964812642611283	0.7626953200261287
3	0.121327231258412	0.6718750083190168
4	0.05698675413673085	0.6259765710502252
5	0.032992194052250054	0.5908203211857664
6	0.007570272884237022	0.5556640713023311
7	0.0070729928902146105	0.5400390713095408
8	0.005368845490298305	0.5097656338237725
9	0.0009032837815573866	0.5117187588553309
10	0.002850458392515061	0.4960937588253847
