Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,68.72031016967838,22.758078275130686,5.100156834853801,2.1500000000000075e-2,5.281125880464852e-4,"cx0_1: 1.673e-2, cx0_14: 2.280e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q1,58.81224143989312,70.94715647801166,5.238395533371382,3.400000000000003e-2,8.680595969917904e-4,"cx1_0: 1.673e-2, cx1_2: 2.986e-2, cx1_13: 6.195e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q2,24.875830377969553,39.134293756903844,5.032840489642348,7.699999999999996e-2,2.7707758362282664e-3,"cx2_1: 2.986e-2, cx2_3: 3.277e-2, cx2_12: 4.887e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q3,91.10307239471557,65.81545337127777,4.896078865531474,6.499999999999995e-2,4.676107010861667e-4,"cx3_2: 3.277e-2, cx3_4: 1.768e-2, cx3_11: 7.730e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q4,62.68927260982338,43.11588248087742,5.026305142000431,4.200000000000004e-2,1.0936007181289056e-3,"cx4_3: 1.768e-2, cx4_5: 3.144e-2, cx4_10: 2.437e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q5,12.966443720184625,37.792253725551724,5.066754931457314,6.299999999999994e-2,2.6747830529521106e-3,"cx5_4: 3.144e-2, cx5_6: 4.473e-2, cx5_9: 4.971e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q6,58.46748826808233,70.87141408261435,4.924040078615095,2.9000000000000026e-2,1.6734505782424196e-3,"cx6_5: 4.473e-2, cx6_8: 3.097e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q7,31.179570623333003,61.47489791227702,4.974527399801028,1.4200000000000002e-1,2.7942257093386386e-3,"cx7_8: 4.349e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q8,29.38130760601664,71.99897907135684,4.740665743203548,2.6249999999999996e-1,9.3162732676258e-4,"cx8_6: 3.097e-2, cx8_7: 4.349e-2, cx8_9: 3.432e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q9,39.14786817553016,46.355896663817155,4.9632902451219145,4.699999999999993e-2,2.0854343278122627e-3,"cx9_5: 4.971e-2, cx9_8: 3.432e-2, cx9_10: 3.840e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q10,68.91914541969528,64.11007701268633,4.945207662089847,2.100000000000002e-2,1.2175727011216058e-3,"cx10_4: 2.437e-2, cx10_9: 3.840e-2, cx10_11: 5.813e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q11,48.883034609172995,15.88613096458535,5.0046548854527435,7.000000000000006e-2,1.0030739121443272e-2,"cx11_3: 7.730e-2, cx11_10: 5.813e-2, cx11_12: 6.259e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q12,120.24523061285517,58.55545212460768,4.760001113224627,5.900000000000005e-2,7.59499054880029e-4,"cx12_2: 4.887e-2, cx12_11: 6.259e-2, cx12_13: 3.756e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q13,29.06283492021325,49.19339803550664,4.968351715002876,9.899999999999998e-2,2.2387550324995333e-3,"cx13_1: 6.195e-2, cx13_12: 3.756e-2, cx13_14: 3.950e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
Q14,40.28285309718799,29.19285547099445,5.001491045624823,3.699999999999992e-2,6.706119091225373e-4,"cx14_0: 2.280e-2, cx14_13: 3.950e-2",Fri Mar 06 2020 10:30:11 GMT+0100 (Central European Standard Time)
