collision_number	numerical_tangle_list	fidelity_list
0	0.9461007695873298	0.9994278253879123
1	0.5169078129179439	0.9997979435913269
2	0.23605508109248594	0.9988860275945484
3	0.1094055938944982	0.9984574471213076
4	0.050955467581325506	0.9999237235125458
5	0.032335804976155576	0.9991287170311214
6	0.013040556743460798	0.999980927604996
7	0.0086700955857857	0.9996827286915831
8	0.004654575943304845	0.9996475135936008
9	0.0010603586767917615	0.9980563598892589
10	0.0037787654643287386	0.9995419129549271
