Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,104.3161874023544,18.783992935218656,4.7959858724978135,7.000000000000006e-3,4.1907772194429196e-4,"cx0_1: 9.753e-3",Tue Mar 10 2020 08:49:34 GMT+0100 (Central European Standard Time)
Q1,79.56995210539473,119.20367241164487,4.9400494514657405,1.100000000000001e-2,5.383637612009855e-4,"cx1_0: 9.753e-3, cx1_2: 7.772e-3, cx1_3: 1.470e-2",Tue Mar 10 2020 08:49:34 GMT+0100 (Central European Standard Time)
Q2,89.82800195218094,53.66590314049069,4.833254447709954,1.3000000000000012e-2,3.672759014799026e-4,"cx2_1: 7.772e-3",Tue Mar 10 2020 08:49:34 GMT+0100 (Central European Standard Time)
Q3,72.07967008408359,22.570165985343348,4.808038798800237,2.0000000000000018e-2,7.091975860740923e-4,"cx3_1: 1.470e-2, cx3_4: 8.303e-3",Tue Mar 10 2020 08:49:34 GMT+0100 (Central European Standard Time)
Q4,90.26885376629697,47.522471223596035,4.749896855041903,1.8000000000000016e-2,8.616433796338394e-4,"cx4_3: 8.303e-3",Tue Mar 10 2020 08:49:34 GMT+0100 (Central European Standard Time)
