Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,65.09220972177691,22.758078275130686,5.100157491262073,1.9500000000000073e-2,4.6801127497593563e-4,"cx0_1: 1.845e-2, cx0_14: 2.658e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q1,53.35294919410969,65.7708760508356,5.238396923622083,2.5000000000000022e-2,1.241587751246217e-3,"cx1_0: 1.845e-2, cx1_2: 1.765e-2, cx1_13: 6.518e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q2,51.61106768333842,103.91626720319933,5.03284842169914,5.699999999999994e-2,4.116936726092418e-3,"cx2_1: 1.765e-2, cx2_3: 2.860e-2, cx2_12: 4.426e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q3,84.48505781470553,66.12017620495912,4.89608605185345,4.749999999999999e-2,6.107828653365208e-4,"cx3_2: 2.860e-2, cx3_4: 2.454e-2, cx3_11: 1.000e+0",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q4,68.10498500435185,42.25628893716934,5.026311086675647,3.200000000000003e-2,1.7730359245391937e-3,"cx4_3: 2.454e-2, cx4_5: 3.107e-2, cx4_10: 3.573e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q5,20.36450269874441,37.902939522325404,5.066770211518099,7.950000000000002e-2,2.4512371463161196e-3,"cx5_4: 3.107e-2, cx5_6: 4.252e-2, cx5_9: 3.601e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q6,106.86378897521686,100.45470542230218,4.924046983999869,4.699999999999993e-2,9.088392707996118e-4,"cx6_5: 4.252e-2, cx6_8: 2.934e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q7,34.075413222008635,42.982218029559895,4.97453165976657,3.600000000000003e-2,1.8410495460039695e-3,"cx7_8: 3.533e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q8,35.05536469397341,33.617264260405754,4.740670830838796,2.9000000000000004e-1,6.876174882408116e-4,"cx8_6: 2.934e-2, cx8_7: 3.533e-2, cx8_9: 3.615e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q9,41.94678335459695,80.41582192206337,4.963285880265868,4.6499999999999986e-2,1.5873653025370782e-3,"cx9_5: 3.601e-2, cx9_8: 3.615e-2, cx9_10: 3.767e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q10,60.62442722095651,39.476743150728964,4.945205202040901,2.400000000000002e-2,2.1786277110250364e-3,"cx10_4: 3.573e-2, cx10_9: 3.767e-2, cx10_11: 1.000e+0",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q11,53.08798086049854,20.110545132891705,5.0046979494144255,7.850000000000001e-2,2.7602393864750427e-2,"cx11_3: 1.000e+0, cx11_10: 1.000e+0, cx11_12: 1.000e+0",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q12,97.04548502456151,52.71095233758073,4.760003088006706,5.8499999999999996e-2,5.428000781862163e-4,"cx12_2: 4.426e-2, cx12_11: 1.000e+0, cx12_13: 3.117e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q13,30.876806063483507,58.01750612993849,4.9683184735006485,1.0450000000000004e-1,2.5753923634984307e-3,"cx13_1: 6.518e-2, cx13_12: 3.117e-2, cx13_14: 5.237e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
Q14,38.15099372520968,42.06252334957013,5.00148202959587,3.600000000000003e-2,7.656479779433162e-4,"cx14_0: 2.658e-2, cx14_13: 5.237e-2",Tue Mar 24 2020 08:48:11 GMT+0100 (Central European Standard Time)
