Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,48.291148793591546,45.38702031994804,5.286423250392883,1.3000000000000012e-2,7.964614170822426e-4,"cx0_1: 1.661e-2, cx0_2: 1.662e-2",Tue Mar 10 2020 12:07:49 GMT+0100 (Central European Standard Time)
Q1,60.1516138367555,77.51158903271079,5.238165788794619,2.100000000000002e-2,1.0796147081105296e-3,"cx1_0: 1.661e-2, cx1_2: 2.161e-2",Tue Mar 10 2020 12:07:49 GMT+0100 (Central European Standard Time)
Q2,55.61571839319018,82.07468518260346,5.030446091731891,2.6000000000000023e-2,3.528821901854109e-4,"cx2_0: 1.662e-2, cx2_1: 2.161e-2, cx2_3: 2.119e-2, cx2_4: 1.199e-2",Tue Mar 10 2020 12:07:49 GMT+0100 (Central European Standard Time)
Q3,42.303071994040856,28.230216270581888,5.295575439647292,3.649999999999998e-2,6.554301865623726e-4,"cx3_2: 2.119e-2, cx3_4: 2.544e-2",Tue Mar 10 2020 12:07:49 GMT+0100 (Central European Standard Time)
Q4,48.99453577764045,37.68650505016206,5.0843903087033695,1.849999999999996e-2,6.783642458938166e-4,"cx4_2: 1.199e-2, cx4_3: 2.544e-2",Tue Mar 10 2020 12:07:49 GMT+0100 (Central European Standard Time)
